biomarker,n,events,hr_ref,lcl_ref,ucl_ref,p_ref,p_interaction,family,p_adj_holm,q_adj_bh,biomarker_label,analysis
z_abbaspha4,607,34,1.1930221768932268,0.958329653007708,1.4851903101318369,0.11430617941718194,0.8442993227985842,exam4_biomarker_immune,1,0.8442993227985842,ABBASPHA4 (z),Exam4-forward separate analysis
z_abeospha4,659,37,1.763241763486165,1.2475568222428868,2.4920881045821464,0.0013134344041567981,0.18486792445603756,exam4_biomarker_immune,1,0.31124866545545377,ABEOSPHA4 (z),Exam4-forward separate analysis
z_ablympha4,685,41,1.1755493312026277,0.7313996282337591,1.889413361376877,0.5041211321431736,0.18138036912891595,exam4_biomarker_immune,1,0.31124866545545377,ABLYMPHA4 (z),Exam4-forward separate analysis
z_abmoncya4,685,41,1.3325883171195971,1.00561511604957,1.7658760241190579,0.04561408960060895,0.40622576023060764,exam4_biomarker_immune,1,0.5170146039298642,ABMONCYA4 (z),Exam4-forward separate analysis
z_abneupha4,685,41,0.7160283198194611,0.37244449426114296,1.3765717111769102,0.3165219222499933,0.5806443328673028,exam4_biomarker_immune,1,0.6774183883451866,ABNEUPHA4 (z),Exam4-forward separate analysis
z_log_crp4,338,22,0.8888081008508916,0.40726470239491536,1.939720863341953,0.7672056947477549,0.050612538247484525,exam4_biomarker_immune,0.6073504589698143,0.2361918451549278,CRP4 (log-z),Exam4-forward separate analysis
z_log_ddimer4,350,22,2.211214844148438,0.9243187906119928,5.289810330205529,0.07456589297002879,4.908917495798335e-5,exam4_biomarker_immune,6.872484494117669e-4,6.872484494117669e-4,DDIMER4 (log-z),Exam4-forward separate analysis
z_epcbla4,669,37,0.8488928772474185,0.43583310101104644,1.6534290657816193,0.6300733502496619,0.7887247676459249,exam4_biomarker_immune,1,0.8442993227985842,EPCBLA4 (z),Exam4-forward separate analysis
z_epccd8la4,661,37,1.503542496784321,1.0056068135148828,2.248035722565212,0.04689934546543739,0.27070212052998877,exam4_biomarker_immune,1,0.3789829687419842,EPCCD8LA4 (z),Exam4-forward separate analysis
z_epccd8ma4,681,42,1.3714317750064273,0.856670346924866,2.1955062647478765,0.18830855075719596,0.11333299832389393,exam4_biomarker_immune,1,0.31124866545545377,EPCCD8MA4 (z),Exam4-forward separate analysis
z_epccd8na4,681,42,0.9192917337098543,0.5081329975845476,1.6631419248198993,0.7808579495844857,0.2000884277927917,exam4_biomarker_immune,1,0.31124866545545377,EPCCD8NA4 (z),Exam4-forward separate analysis
z_epcwba4,280,18,3.305727318098825e-11,9.816296077859007e-35,11132338526618.89,0.38260494600850814,0.15273519303281433,exam4_biomarker_immune,1,0.31124866545545377,EPCWBA4 (z),Exam4-forward separate analysis
z_fib4,350,22,0.4345106207932161,0.16256413905386627,1.1613845506206422,0.09657258830292284,0.004954575947543626,exam4_biomarker_immune,0.06440948731806714,0.03468203163280538,FIB4 (z),Exam4-forward separate analysis
z_log_icam4,349,22,1.262036165052058,0.43560283313323445,3.6563933031449043,0.6680694235827545,0.06978056226411689,exam4_biomarker_immune,0.7675861849052857,0.2442319679244091,ICAM4 (log-z),Exam4-forward separate analysis
