biomarker,cc_hr_ref,cc_lcl_ref,cc_ucl_ref,cc_p_ref,cc_p_interaction,biomarker_label,mi_hr_ref,mi_lcl_ref,mi_ucl_ref,mi_p_ref,mi_p_interaction,cc_hr_ref_ci,mi_hr_ref_ci,cc_p_ref_fmt,mi_p_ref_fmt,cc_p_interaction_fmt,mi_p_interaction_fmt
z_log_il61,1.2032468755974486,1.0295678325637514,1.4062240464815348,0.020000654957293237,0.34613626014693244,IL-6 (log-z),1.188020162787342,1.020153376721531,1.3835095186618462,0.026736048817220463,NA,"1.20 (1.03, 1.41)","1.19 (1.02, 1.38)",0.02,0.0267,0.346,  NA
z_log_ddimer1,1.277142171590796,1.0992458340972757,1.4838283447261296,0.0013917271268626286,0.4405748185720423,D-dimer (log-z),1.2633672007445402,1.0909482931200494,1.4630360521967094,0.0018546925099485656,NA,"1.28 (1.10, 1.48)","1.26 (1.09, 1.46)",0.00139,0.00185,0.441,  NA
z_fib1,1.124111977451031,0.9646096516988016,1.3099886940001655,0.13401250963509903,0.8690507895550383,Fibrinogen (z),1.10794986634459,0.9539399075248576,1.2868241454727138,0.17896071398707775,NA,"1.12 (0.96, 1.31)","1.11 (0.95, 1.29)",0.134,0.179,0.869,  NA
z_log_crp1,1.162370036413448,0.9921463978839863,1.3617991300813932,0.06255091577762863,0.9874295282969107,CRP (log-z),1.1650888035100815,0.9991447196121175,1.3585938987812778,0.05128401132125847,NA,"1.16 (0.99, 1.36)","1.17 (1.00, 1.36)",0.0626,0.0513,0.987,  NA
