analysis,fibrinogen,subgroup,n,events,hr,lcl,ucl,wald_p,contrast_p_vs_ref,p_interaction,p_adj_holm,q_adj_bh,hr_ci,wald_p_fmt,contrast_p_vs_ref_fmt,interaction_p_fmt,holm_p_fmt,bh_q_fmt
Exam 1,z_fib1,No diabetes / No obesity,6306,449,1.1443546679626382,1.0007379698324812,1.3085819121134097,0.04875297161931881,NA,0.6808853237771963,0.9628705679662211,0.6808853237771963,"1.14 (1.00, 1.31)",0.0488,NA,0.681,0.963,0.681
Exam 1,z_fib1,No diabetes / Obesity,6306,449,1.2243173661161486,1.0443356482492008,1.4353172904578484,0.012606205628483006,0.5189619208493019,0.6808853237771963,0.9628705679662211,0.6808853237771963,"1.22 (1.04, 1.44)",0.0126,0.519,0.681,0.963,0.681
Exam 1,z_fib1,Diabetes / No obesity,6306,449,1.1808205236579425,0.8522879667922381,1.6359929547517766,0.3177198019593638,0.8606437386305502,0.6808853237771963,0.9628705679662211,0.6808853237771963,"1.18 (0.85, 1.64)",0.318,0.861,0.681,0.963,0.681
Exam 1,z_fib1,Diabetes / Obesity,6306,449,1.383992090767667,1.0373696403690462,1.846433549593797,0.027146972756251966,0.2371580074455065,0.6808853237771963,0.9628705679662211,0.6808853237771963,"1.38 (1.04, 1.85)",0.0271,0.237,0.681,0.963,0.681
Exam 4 forward,z_fib4,No diabetes / No obesity,350,22,1.2393930244642877,0.6131410614279005,2.505288204827503,0.5500397316239896,NA,0.9835459258516703,1,0.9835459258516703,"1.24 (0.61, 2.51)",0.55,NA,0.984,   1,0.984
Exam 4 forward,z_fib4,No diabetes / Obesity,350,22,0.9992421473489599,0.3778870036037542,2.642284226545019,0.9987807533601011,0.7102220945809606,0.9835459258516703,1,0.9835459258516703,"1.00 (0.38, 2.64)",0.999,0.71,0.984,   1,0.984
Exam 4 forward,z_fib4,Diabetes / No obesity,350,22,1.47671640315668,0.10335553132937031,21.098932077497054,0.7738857786933229,0.8993287352835845,0.9835459258516703,1,0.9835459258516703,"1.48 (0.10, 21.10)",0.774,0.899,0.984,   1,0.984
Exam 4 forward,z_fib4,Diabetes / Obesity,350,22,1.0808351486841403,0,Inf,0.9999878322291855,0.9999785728512163,0.9835459258516703,1,0.9835459258516703,"1.08 (0.00, Inf)",   1,   1,0.984,   1,0.984
