biomarker,race,n,events,Group-specific HR (95% CI),Group Wald P,Contrast P vs White,Global interaction P,Holm P,BH q
DDIMER4 (log-z),White,350,22,"2.21 (0.92, 5.29)",0.0746,NA,4.91e-05,0.000687,0.000687
DDIMER4 (log-z),Chinese American,350,22,"0.52 (0.07, 3.91)",0.524,0.209,4.91e-05,0.000687,0.000687
DDIMER4 (log-z),Black,350,22,"0.07 (0.02, 0.26)",7.15e-05,1.68e-05,4.91e-05,0.000687,0.000687
DDIMER4 (log-z),Hispanic,350,22,"1.33 (0.11, 15.49)",0.822,0.683,4.91e-05,0.000687,0.000687
FIB4 (z),White,350,22,"0.43 (0.16, 1.16)",0.0966,NA,0.00495,0.0644,0.0347
FIB4 (z),Chinese American,350,22,"4.75 (0.10, 231.89)",0.432,0.24,0.00495,0.0644,0.0347
FIB4 (z),Black,350,22,"1.04 (0.46, 2.35)",0.916,0.165,0.00495,0.0644,0.0347
FIB4 (z),Hispanic,350,22,"32.88 (0.79, 1363.94)",0.0661,0.028,0.00495,0.0644,0.0347
