biomarker,hr,lcl,ucl,p_value,biomarker_label,hr_ci,p_value_fmt
z_log_crp1,1.1470622657386815,1.0344084409409389,1.2719848266944709,0.009398767889165606,CRP (log-z),"1.15 (1.03, 1.27)",0.0094
z_log_il61,1.1885017882159472,1.0707106784662646,1.3192513430573856,0.0012335129540785323,IL-6 (log-z),"1.19 (1.07, 1.32)",0.00123
z_fib1,1.1122853938799924,1.012178640172471,1.222292931638984,0.02708734683912857,Fibrinogen (z),"1.11 (1.01, 1.22)",0.0271
z_log_ddimer1,1.1752760731565288,1.0652816583988152,1.2966278328778997,0.0013279585646305935,D-dimer (log-z),"1.18 (1.07, 1.30)",0.00133
