biomarker,n,events,hr,lcl,ucl,p_value,biomarker_label
z_log_crp1,6304,448,1.1385119188789932,1.023438891189599,1.2665234833150343,0.017026853273695162,CRP (log-z)
z_log_ddimer1,6309,449,1.1750769556009864,1.062481072505617,1.299605129273663,0.0016937275058625857,D-dimer (log-z)
z_fib1,6306,449,1.1285114469293482,1.0236669056248302,1.244094225233572,0.015093063942325367,Fibrinogen (z)
z_log_il61,6178,442,1.1992178743507165,1.0766054293935943,1.3357944061012992,9.624168091700708e-4,IL-6 (log-z)
