dataset,n,crp_missing_n,fib_missing_n,both_missing_n,crp_missing_pct,fib_missing_pct,both_missing_pct
exam1_plus_aire1_sources,6814,6814,6814,6814,100,100,100
mesa_main_analytic,6785,6785,6785,6785,100,100,100
