model,c_index,td_auc_mean,integrated_brier,n,events
M0_clinical,0.7853919336119461,0.718459125930585,0.03681231563804583,6785,485
M1_M0_plus_IL6,0.7877896158511706,0.6849166639967419,0.03576691846613943,6785,485
M2_M0_plus_Ddimer,0.7882165330002193,0.7176215295791777,0.036748093066216674,6785,485
M3_M0_plus_IL6_Ddimer,0.7897093261626769,0.6845950255232431,0.035705242641895396,6785,485
