biomarker,race_level,n,events,hr,lcl,ucl,wald_p,contrast_p_vs_ref,p_interaction,p_adj_holm,q_adj_bh,biomarker_label,race_label,hr_ci,wald_p_fmt,contrast_p_vs_ref_fmt,interaction_p_fmt,holm_p_fmt,bh_q_fmt
z_log_ddimer4,1,350,22,2.211214844148438,0.9243187906119928,5.289810330205529,0.074565892970029,NA,4.908917495798335e-5,6.872484494117669e-4,6.872484494117669e-4,DDIMER4 (log-z),White,"2.21 (0.92, 5.29)",0.0746,NA,4.91e-05,0.000687,0.000687
z_log_ddimer4,2,350,22,0.5178723837286765,0.06858332246042394,3.9104522237688597,0.5235134103671876,0.20870048660923002,4.908917495798335e-5,6.872484494117669e-4,6.872484494117669e-4,DDIMER4 (log-z),Chinese American,"0.52 (0.07, 3.91)",0.524,0.209,4.91e-05,0.000687,0.000687
z_log_ddimer4,3,350,22,0.06998550003811166,0.01883500985923597,0.260046065926679,7.151628956357886e-5,1.677178016759736e-5,4.908917495798335e-5,6.872484494117669e-4,6.872484494117669e-4,DDIMER4 (log-z),Black,"0.07 (0.02, 0.26)",7.15e-05,1.68e-05,4.91e-05,0.000687,0.000687
z_log_ddimer4,4,350,22,1.3261140860612064,0.11351630649760004,15.491858601716647,0.8219344333629403,0.6827625969515825,4.908917495798335e-5,6.872484494117669e-4,6.872484494117669e-4,DDIMER4 (log-z),Hispanic,"1.33 (0.11, 15.49)",0.822,0.683,4.91e-05,0.000687,0.000687
z_fib4,1,350,22,0.4345106207932161,0.16256413905386627,1.1613845506206422,0.09657258830292273,NA,0.004954575947543626,0.06440948731806714,0.03468203163280538,FIB4 (z),White,"0.43 (0.16, 1.16)",0.0966,NA,0.00495,0.0644,0.0347
z_fib4,2,350,22,4.749708711728158,0.09728798959843106,231.8861037152131,0.4322154784130655,0.2401670125743958,0.004954575947543626,0.06440948731806714,0.03468203163280538,FIB4 (z),Chinese American,"4.75 (0.10, 231.89)",0.432,0.24,0.00495,0.0644,0.0347
z_fib4,3,350,22,1.0445398988439543,0.4649256948772241,2.346748334838887,0.9159683316380756,0.1653999246498158,0.004954575947543626,0.06440948731806714,0.03468203163280538,FIB4 (z),Black,"1.04 (0.46, 2.35)",0.916,0.165,0.00495,0.0644,0.0347
z_fib4,4,350,22,32.87631972520132,0.7924501316507907,1363.9374334156346,0.06612476744527568,0.02799520294804764,0.004954575947543626,0.06440948731806714,0.03468203163280538,FIB4 (z),Hispanic,"32.88 (0.79, 1363.94)",0.0661,0.028,0.00495,0.0644,0.0347
