biomarker,race,n,events,Group-specific HR (95% CI),Group Wald P,Contrast P vs White,Global interaction P,Holm P,BH q
D-dimer (log-z),White,6309,449,"1.28 (1.10, 1.48)",0.00139,NA,0.441,   1,0.881
D-dimer (log-z),Chinese American,6309,449,"1.25 (0.90, 1.73)",0.184,0.894,0.441,   1,0.881
D-dimer (log-z),Black,6309,449,"1.10 (0.92, 1.31)",0.289,0.198,0.441,   1,0.881
D-dimer (log-z),Hispanic,6309,449,"1.07 (0.87, 1.32)",0.53,0.171,0.441,   1,0.881
IL-6 (log-z),White,6178,442,"1.20 (1.03, 1.41)",0.02,NA,0.346,   1,0.881
IL-6 (log-z),Chinese American,6178,442,"1.02 (0.69, 1.50)",0.93,0.431,0.346,   1,0.881
IL-6 (log-z),Black,6178,442,"1.11 (0.92, 1.35)",0.273,0.524,0.346,   1,0.881
IL-6 (log-z),Hispanic,6178,442,"1.40 (1.12, 1.74)",0.00258,0.259,0.346,   1,0.881
