biomarker,n,events,HR (95% CI),Wald P
CRP (log-z),6304,448,"1.14 (1.02, 1.27)",0.017
D-dimer (log-z),6309,449,"1.18 (1.06, 1.30)",0.00169
Fibrinogen (z),6306,449,"1.13 (1.02, 1.24)",0.0151
IL-6 (log-z),6178,442,"1.20 (1.08, 1.34)",0.000962
