biomarker,n,events,hr,lcl,ucl,p_value,analysis,score_name,hr_ci,p_value_fmt
z_exam1_inflammatory_burden,6157,440,1.2467481969111014,1.1168116588991714,1.3918023277382494,8.588513851773185e-5,Exam 1,Exam 1 inflammatory burden,"1.25 (1.12, 1.39)",8.59e-05
z_exam4_multidomain_inflammatory_burden,71,3,2295.940001902611,0,Inf,0.9996812876580196,Exam 4 forward,Exam 4 multidomain inflammatory burden,"2295.94 (0.00, Inf)",   1
