biomarker,biomarker_label,cc_hr,cc_lcl,cc_ucl,cc_p_value,mi_hr,mi_lcl,mi_ucl,mi_p_value,cc_hr_ci,mi_hr_ci,cc_p_value_fmt,mi_p_value_fmt
z_log_crp1,CRP (log-z),1.1385119188789932,1.023438891189599,1.2665234833150343,0.017026853273695162,1.1470622657386815,1.0344084409409389,1.2719848266944709,0.009398767889165606,"1.14 (1.02, 1.27)","1.15 (1.03, 1.27)",0.017,0.0094
z_log_ddimer1,D-dimer (log-z),1.1750769556009864,1.062481072505617,1.299605129273663,0.0016937275058625857,1.1752760731565288,1.0652816583988152,1.2966278328778997,0.0013279585646305935,"1.18 (1.06, 1.30)","1.18 (1.07, 1.30)",0.00169,0.00133
z_fib1,Fibrinogen (z),1.1285114469293482,1.0236669056248302,1.244094225233572,0.015093063942325367,1.1122853938799924,1.012178640172471,1.222292931638984,0.02708734683912857,"1.13 (1.02, 1.24)","1.11 (1.01, 1.22)",0.0151,0.0271
z_log_il61,IL-6 (log-z),1.1992178743507165,1.0766054293935943,1.3357944061012992,9.624168091700708e-4,1.1885017882159472,1.0707106784662646,1.3192513430573856,0.0012335129540785323,"1.20 (1.08, 1.34)","1.19 (1.07, 1.32)",0.000962,0.00123
