model,biomarker,biomarker_label,hr,lcl,ucl,p_value,hr_ci,p_value_fmt
M1,z_log_il61,IL-6 (log-z),1.2111218278001794,1.0885843610796602,1.347452833438886,4.323008921656348e-4,"1.21 (1.09, 1.35)",0.000432
M3,z_log_il61,IL-6 (log-z),1.1768006438261203,1.0557676595642898,1.3117088241565351,0.003282217657506909,"1.18 (1.06, 1.31)",0.00328
M2,z_log_ddimer1,D-dimer (log-z),1.1777189034313205,1.065837823857139,1.3013441486623232,0.0013184396682137934,"1.18 (1.07, 1.30)",0.00132
M3,z_log_ddimer1,D-dimer (log-z),1.1323701161132889,1.0209005312529003,1.2560107871555,0.018713381805626674,"1.13 (1.02, 1.26)",0.0187
