biomarker,n,events,hr_ref,lcl_ref,ucl_ref,p_ref,p_interaction,family,p_adj_holm,q_adj_bh
z_log_il61,6178,442,1.2032468755974486,1.0295678325637514,1.4062240464815348,0.020000654957293237,0.34613626014693244,primary_inflammatory,1,0.8811496371440846
z_log_ddimer1,6309,449,1.277142171590796,1.0992458340972757,1.4838283447261296,0.0013917271268626286,0.4405748185720423,primary_inflammatory,1,0.8811496371440846
z_fib1,6306,449,1.124111977451031,0.9646096516988016,1.3099886940001655,0.13401250963509903,0.8690507895550383,primary_inflammatory,1,0.9874295282969107
z_log_crp1,6304,448,1.162370036413448,0.9921463978839863,1.3617991300813932,0.06255091577762863,0.9874295282969107,primary_inflammatory,1,0.9874295282969107
